job_name,result,crab.isderef.not.solve,crab.isderef.solve,bmc_time,bmc_solve_time,crab_time,seahorn_total_time
ptr_eq,TRUE,0,0,0.02,0.01,0.01,0.02
add_size_checked,TRUE,0,0,0.03,0.03,0,0.04
add_size_saturating,TRUE,0,0,0.07,0.06,0.01,0.07
is_power_of_two,TRUE,0,0,0.02,0.01,0.01,0.02
nospec_mask,TRUE,0,0,0.03,0.02,0.01,0.03
mul_size_saturating,TRUE,0,0,0.17,0.17,0.01,0.18
array_eq_c_str_ignore_case,TRUE,0,11,0.08,0.07,0.01,0.09
round_up_to_power_of_two,TRUE,0,0,0.16,0.13,0.01,0.17
mul_size_checked,TRUE,0,0,0.18,0.17,0.01,0.18
array_list_clean_up,TRUE,0,0,0.03,0.01,0.01,0.03
array_list_capacity,TRUE,0,3,0.21,0.18,0.02,0.22
array_list_back,TRUE,2,5,0.23,0.19,0.03,0.25
array_list_front,TRUE,2,5,0.23,0.19,0.02,0.24
array_list_clear,TRUE,0,0,0.52,0.51,0.01,0.53
array_eq_c_str,TRUE,0,57,0.96,0.9,0.03,0.97
array_eq_ignore_case,TRUE,3,25,1.07,1.01,0.03,1.09
array_list_ensure_capacity,TRUE,0,7,0.72,0.69,0.02,0.73
array_list_get_at,TRUE,2,5,0.42,0.38,0.02,0.44
array_eq,TRUE,3,49,1.41,1.32,0.05,1.42
array_list_get_at_ptr,TRUE,0,3,0.23,0.19,0.03,0.24
array_list_init_dynamic,TRUE,0,0,0.34,0.32,0.02,0.35
array_list_copy,TRUE,4,4,0.97,0.92,0.02,0.98
array_list_length,TRUE,0,3,0.21,0.17,0.02,0.22
array_list_init_static,TRUE,0,3,0.39,0.37,0.01,0.39
array_list_pop_back,TRUE,0,3,0.67,0.64,0.02,0.69
array_list_sort,TRUE,0,3,0.2,0.18,0.02,0.22
byte_buf_advance,TRUE,4,1,0.12,0.07,0.04,0.14
array_list_push_back,TRUE,2,9,0.41,0.37,0.02,0.42
array_list_erase,TRUE,8,3,2.14,2.1,0.02,2.16
byte_buf_append,TRUE,2,2,0.08,0.05,0.02,0.09
array_list_swap_contents,TRUE,0,6,0.78,0.73,0.03,0.8
byte_buf_append_dynamic,TRUE,6,6,0.23,0.2,0.02,0.24
byte_buf_append_with_lookup,TRUE,20,0,0.2,0.12,0.05,0.22
array_list_pop_front,TRUE,4,3,1.69,1.63,0.03,1.7
byte_buf_clean_up,TRUE,0,0,0.03,0.01,0.01,0.03
array_list_set_at,TRUE,2,9,1.3,1.21,0.04,1.32
byte_buf_clean_up_secure,TRUE,0,0,0.03,0.01,0.01,0.03
array_list_pop_front_n,TRUE,4,3,1.86,1.81,0.03,1.88
byte_buf_eq_c_str_ignore_case,TRUE,0,11,0.11,0.09,0.01,0.12
byte_buf_eq_c_str,TRUE,0,11,0.1,0.08,0,0.1
byte_buf_from_array,TRUE,0,0,0.05,0.04,0.01,0.06
byte_buf_from_empty_array,TRUE,0,0,0.05,0.04,0.01,0.06
array_list_shrink_to_fit,TRUE,6,5,2.1,2.06,0.03,2.12
byte_buf_init,TRUE,0,0,0.04,0.02,0.01,0.05
byte_buf_cat,TRUE,12,10,0.89,0.73,0.1,0.91
byte_buf_from_c_str,TRUE,0,33,0.32,0.28,0.02,0.34
byte_buf_init_copy_from_cursor,TRUE,2,2,0.11,0.07,0.02,0.12
byte_buf_reserve_relative,TRUE,0,4,0.06,0.03,0.02,0.06
